,period,value,day
95,2023-01-04 23:00:00,1701,4
269,2023-01-12 05:00:00,1614,12
460,2023-01-20 04:00:00,3244,20
552,2023-01-24 00:00:00,2788,24
726,2023-01-31 06:00:00,2167,31
894,2023-02-07 06:00:00,1611,38
1087,2023-02-15 07:00:00,4236,46
1296,2023-02-24 00:00:00,2299,55
1395,2023-02-28 03:00:00,3724,59
1654,2023-03-10 22:00:00,3534,69
1749,2023-03-14 21:00:00,3301,73
1924,2023-03-22 04:00:00,3431,81
2135,2023-03-30 23:00:00,3004,89
2234,2023-04-04 02:00:00,3850,94
2406,2023-04-11 06:00:00,3634,101
2671,2023-04-22 07:00:00,3374,112
2817,2023-04-28 09:00:00,2838,118
2954,2023-05-04 02:00:00,2656,124
3197,2023-05-14 05:00:00,2551,134
3287,2023-05-17 23:00:00,2262,137
3431,2023-05-23 23:00:00,3346,143
3700,2023-06-04 04:00:00,3495,155
3749,2023-06-05 23:00:00,3141,156
4289,2023-06-17 05:00:00,3768,168
4565,2023-06-22 23:00:00,3881,173
5019,2023-07-02 10:00:00,3120,183
5065,2023-07-03 09:00:00,3740,184
5631,2023-07-15 04:00:00,3285,196
5813,2023-07-18 23:00:00,3343,199
6197,2023-07-26 23:00:00,3181,207
6357,2023-08-01 06:00:00,3434,213
6520,2023-08-08 01:00:00,3252,220
6740,2023-08-17 05:00:00,1906,229
6926,2023-08-24 23:00:00,1012,236
7027,2023-08-29 04:00:00,2398,241
7294,2023-09-09 07:00:00,1713,252
7372,2023-09-12 13:00:00,2905,255
7574,2023-09-20 23:00:00,3616,263
7723,2023-09-27 04:00:00,3512,270
7959,2023-10-07 00:00:00,591,280
8029,2023-10-09 22:00:00,2499,282
8294,2023-10-20 23:00:00,585,293
8369,2023-10-24 02:00:00,4011,297
8613,2023-11-03 06:00:00,753,307
8725,2023-11-07 22:00:00,3602,311
8924,2023-11-16 05:00:00,1170,320
9039,2023-11-21 00:00:00,2399,325
9263,2023-11-30 08:00:00,3326,334
9447,2023-12-08 00:00:00,3653,342
9591,2023-12-14 00:00:00,465,348
9779,2023-12-21 20:00:00,1355,355
9936,2023-12-28 09:00:00,492,362
